T AE Z W IY R IY CH T IH T W IY HH ER D DH AH S AW N D AH V R AH N IH NG F IY T W IY HH ER D DH AH SH AW T IH NG AH V T UW V OY S AH Z AH N D DH AH SH AW T IH NG AH V T UW F R AH M DH AH F L AO R AH N W IH CH W IY W ER F R AH M DH AH W AH N B IH N IY TH </S>'] ---> Reference:['<S> DH AH L AE T ER L EH D T UW AH N AH DH ER B R AO D P AE S AH JH AH N D JH AH S T AE Z W IY R IY CH T IH T W IY HH ER D DH AH S AW N D AH V R AH N IH NG F IY T AH N D DH AH SH AW T IH NG AH V T UW V OY S AH Z W AH N AE N S ER IH NG DH AH AH DH ER F R AH M DH AH F L AO R AA N W IH CH W IY W ER AH N D F R AH M DH AH W AH N B IH N IY TH </S>']  (PER: 0.15037593984962405)
2023-08-22 10:05:09 | INFO | root | Prediction:['<S> AY S AH P OW Z DH AE T AY AE M K AH M Y UW T IH NG EY F EH L AH N IY B AH T IH T IH Z JH AH S T P AA S AH B AH L DH AE T AY AE M S EY V IH NG EY S OW </S>'] ---> Reference:['<S> AY S AH P OW Z DH AE T AY AE M K AH M Y UW T IH NG EY F EH L AH N IY B AH T IH T IH Z JH AH S T P AA S AH B AH L DH AE T AY AE M S EY V IH NG EY S OW L </S>']  (PER: 0.01639344262295082)
2023-08-22 10:05:12 | INFO | root | Prediction:['<S> B AY HH IH'] ---> Reference:['<S> Z V IY </S>']  (PER: 0.8)
2023-08-22 10:05:14 | INFO | root | Prediction:['<S> B AH T AH V W AH T S OW S AY T IY </S>'] ---> Reference:['<S> B AH T AH V W AH T S OW S AY IH T IY </S>']  (PER: 0.0625)
2023-08-22 10:05:16 | INFO | root | Prediction:['<S> B AH T DH EH R W AA Z L IH T AH L AY D AH N T N OW </S>'] ---> Reference:['<S> B AH T DH EH R W AA Z L IH T AH L AY D IH D AH N T N OW </S>']  (PER: 0.08695652173913043)
2023-08-22 10:05:20 | INFO | root | Prediction:['<S> W IH DH EY R EH N D IH NG T EH R IH NG S AW N D W AH N AH V DH AH B R AO D W AY T S T OW N Z T ER N D OW V ER AH P AA N IH T S S AY D AH N D L EH F T EY S K W EH R G EY P IH NG HH OW L TH R OW IH N S T R IY M D DH AH L AY T AH V EY L AE N T ER N </S>'] ---> Reference:['<S> W IH DH EY R EH N D IH NG T EH R IH NG S AW N D W AH N AH V DH AH B R AO D W AY T S T OW N Z T ER N D OW V ER AH P AA N IH T S S AY D AH N D L EH F T EY S K W EH R G EY P IH NG HH OW L TH R UW W IH CH S T R IY M D DH AH L AY T AH V EY L AE N T ER N </S>']  (PER: 0.02912621359223301)
2023-08-22 10:05:22 | INFO | root | Prediction:['<S> DH EH N S AH D AH N L IY R IY AH L AY Z IH NG DH AH IH K S P OW ZH ER HH IY B R OW K IH N T UW EY S K R IY M AH N D TH R UW HH IH M S EH L F D AW N W IH DH HH IH Z F EY S T UW DH AH P IH L OW </S>'] ---> Reference:['<S> DH EH N S AH D AH N L IY R IY AH L AY Z IH NG DH AH IH K S P OW ZH ER HH IY B R OW K IH N T UW EY S K R IY M AH N D TH R UW HH IH M S EH L F D AW N W IH DH HH IH Z F EY S T UW DH AH P IH L OW </S>']  (PER: 0.0)
2023-08-22 10:05:26 | INFO | root | Prediction:['<S> DH EH R IH Z EY D R AY V D </S>'] ---> Reference:['<S> DH EH R IH Z EY D R AY V DH EH N </S>']  (PER: 0.23076923076923078)
2023-08-22 10:05:30 | INFO | root | Prediction:['<S> AY L EH F T HH IH M DH EH N S T UH D P AH F IH NG AE T HH IH Z B L AE K K L EY P AY P W IH DH DH AH K AH N V IH K SH AH N DH AE T W EH N AY K EY M AH G EH N AA N DH AH N EH K S T IY V N IH NG AY W UH D F AY N D DH AE T HH IY HH EH L D IH N HH IH Z HH AE N D Z AO L DH AH K L UW Z W IH CH W IY D L EH D B R AY D G R UW M AH V W IH S M EH R IY S AH DH ER L AH N D </S>'] ---> Reference:['<S> AY L EH F T HH IH M DH EH N S T IH L P AH F IH NG AE T HH IH Z B L AE K K L EY P AY P W IH DH DH AH K AH N V IH K SH AH N DH AE T W EH N AY K EY M AH G EH N AA N DH AH N EH K S T IY V N IH NG AY W UH D F AY N D DH AE T HH IY HH EH L D IH N HH IH Z HH AE N D Z AO L DH AH K L UW Z W IH CH W UH D L EH D AH P T UW DH AH AY D EH N T AH T IY AH V DH AH D IH S AH P IH R IH NG B R AY D G R UW M AH V M IH S M EH R IY S AH DH ER L AH N D </S>']  (PER: 0.20945945945945946)
2023-08-22 10:05:32 | INFO | root | Prediction:['<S> DH EH N V EH R IY S L OW L IY AY R IY AH L AY Z DH AE T B AY EY M IH R AH K AH L AY HH AE D IH S K EY P T </S>'] ---> Reference:['<S> AH N D DH EH N V EH R IY S L OW L IY AY R IY AH L AY Z D DH AE T B AY EY M IH R AH K AH L AY HH AE D IH S K EY P T </S>']  (PER: 0.09090909090909091)
2023-08-22 10:05:35 | INFO | root | Prediction:['<S> M AY K AH M P AE N Y AH N S AE T IH N DH AH F R AH N T AH V DH AH T R AE P HH IH Z AA R M Z F OW L D AH D HH IH Z AA N R AE D AH D OW V ER HH IH Z AY Z AH N D HH IH Z CH IH N S AH NG K AH P AA N HH IH Z B R EH S T B EH R IY K T IH N DH AH D IY P AH S T TH AO T </S>'] ---> Reference:['<S> M AY K AH M P AE N Y AH N S AE T IH N DH AH F R AH N T AH V DH AH T R AE P HH IH Z AA R M Z F OW L D AH D HH IH Z HH AE T P UH L D D AW N OW V ER HH IH Z AY Z AH N D HH IH Z CH IH N S AH NG K AH P AA N HH IH Z B R EH S T B EH R IY D IH N DH AH D IY P AH S T TH AO T </S>']  (PER: 0.10185185185185185)
2023-08-22 10:05:39 | INFO | root | Prediction:['<S> DH EY K AH M F R AH M M OW L Z IY AH N D W EY B R AH JH AH N D W AO L T AH N AH N D DH EY S EY DH EH R Z B IH N G AH N Z HH ER D AE T CH AH R T S IY HH EH V IY F AY R IH NG AH N D DH AE T M AW N T AH D S OW L JH ER Z HH AE V T OW L D DH EH M T UW G EH T AO F AE T W AH N S B IH K AO Z DH AH M AA R SH AH N Z AA R K AH M IH NG </S>'] ---> Reference:['<S> DH EY K AH M F R AH M M OW L Z IY AH N D W EY B R AH JH AH N D W AO L T AH N AH N D DH EY S EY DH EH R Z B IH N G AH N Z HH ER D AE T CH AH R T S IY HH EH V IY F AY R IH NG AH N D DH AE T M AW N T AH D S OW L JH ER Z HH AE V T OW L D DH EH M T UW G EH T AO F AE T W AH N S B IH K AO Z DH AH M AA R SH AH N Z AA R K AH M IH NG </S>']  (PER: 0.0)
